Dates	USGG2YR Index	USGG5YR Index	USGG10YR Index	USGG30YR Index
1970-05-04		8.054	7.942	
1970-05-05		8.024	7.992	
1970-05-06		8.014	7.862	
1970-05-07		7.944	7.822	
1970-05-08		7.884	7.782	
1970-05-11		7.974	7.822	
1970-05-12		7.974	7.842	
1970-05-13		7.984	7.852	
1970-05-14		8.014	7.862	
1970-05-15		7.964	7.832	
1970-05-18		7.934	7.802	
1970-05-19		7.924	7.802	
1970-05-20		7.984	7.852	
1970-05-21		8.004	7.902	
1970-05-22		8.024	7.992	
1970-05-25		8.084	7.992	
1970-05-26		8.044	8.222	
1970-05-27		7.924	8.022	
1970-05-28		7.864	7.982	
1970-05-29		7.834	7.952	
1970-06-01		7.734	7.842	
1970-06-02		7.744	7.782	
1970-06-03		7.744	7.762	
1970-06-04		7.764	7.802	
1970-06-05		7.884	7.882	
1970-06-08		7.874	7.892	
1970-06-09		7.834	7.882	
1970-06-10		7.824	7.872	
1970-06-11		7.894	7.922	
1970-06-12		7.984	7.982	
1970-06-15		7.984	7.982	
1970-06-16		7.904	7.872	
1970-06-17		7.964	7.902	
1970-06-18		7.964	7.902	
1970-06-19		7.944	7.902	
1970-06-22		7.884	7.862	
1970-06-23		7.844	7.792	
1970-06-24		7.834	7.742	
1970-06-25		7.844	7.762	
1970-06-26		7.844	7.782	
1970-06-29		7.804	7.602	
1970-06-30		7.774	7.682	
1970-07-01		7.694	7.642	
1970-07-02		7.624	7.552	
1970-07-03		7.624	7.552	
1970-07-06		7.624	7.492	
1970-07-07		7.634	7.462	
1970-07-08		7.654	7.492	
1970-07-09		7.644	7.492	
1970-07-10		7.644	7.542	
1970-07-13		7.624	7.552	
1970-07-14		7.594	7.532	
1970-07-15		7.544	7.492	
1970-07-16		7.484	7.462	
1970-07-17		7.524	7.452	
1970-07-20		7.594	7.462	
1970-07-21		7.584	7.452	
1970-07-22		7.564	7.432	
1970-07-23		7.474	7.322	
1970-07-24		7.544	7.342	
1970-07-27		7.594	7.362	
1970-07-28		7.624	7.412	
1970-07-29		7.614	7.392	
1970-07-30		7.594	7.382	
1970-07-31		7.584	7.382	
1970-08-03		7.604	7.392	
1970-08-04		7.624	7.402	
1970-08-05		7.624	7.422	
1970-08-06		7.624	7.432	
1970-08-07		7.634	7.452	
1970-08-10		7.694	7.502	
1970-08-11		7.674	7.542	
1970-08-12		7.644	7.562	
1970-08-13		7.624	7.582	
1970-08-14		7.664	7.672	
1970-08-17		7.684	7.712	
1970-08-18		7.654	7.682	
1970-08-19		7.594	7.652	
1970-08-20		7.574	7.642	
1970-08-21		7.534	7.602	
1970-08-24		7.444	7.482	
1970-08-25		7.424	7.462	
1970-08-26		7.424	7.452	
1970-08-27		7.454	7.482	
1970-08-28		7.454	7.492	
1970-08-31		7.454	7.492	
1970-09-01		7.434	7.472	
1970-09-02		7.434	7.482	
1970-09-03		7.424	7.482	
1970-09-04		7.374	7.472	
1970-09-07		7.374	7.472	
1970-09-08		7.404	7.502	
1970-09-09		7.444	7.542	
1970-09-10		7.434	7.522	
1970-09-11		7.404	7.502	
1970-09-14		7.384	7.482	
1970-09-15		7.374	7.462	
1970-09-16		7.314	7.402	
1970-09-17		7.244	7.322	
1970-09-18		7.244	7.312	
1970-09-21		7.224	7.292	
1970-09-22		7.194	7.282	
1970-09-23		7.104	7.242	
1970-09-24		7.134	7.262	
1970-09-25		7.144	7.282	
1970-09-28		7.194	7.312	
1970-09-29		7.184	7.302	
1970-09-30		7.484	7.292	
1970-10-01		7.194	7.292	
1970-10-02		7.174	7.262	
1970-10-05		7.154	7.262	
1970-10-06		7.094	7.242	
1970-10-07		7.044	7.232	
1970-10-08		7.104	7.252	
1970-10-09		7.074	7.252	
1970-10-12		7.074	7.252	
1970-10-13		7.044	7.252	
1970-10-14		7.084	7.302	
1970-10-15		7.104	7.302	
1970-10-16		7.114	7.312	
1970-10-19		7.164	7.352	
1970-10-20		7.144	7.372	
1970-10-21		7.154	7.422	
1970-10-22		7.184	7.462	
1970-10-23		7.174	7.442	
1970-10-26		7.174	7.442	
1970-10-27		7.114	7.422	
1970-10-28		7.074	7.382	
1970-10-29		7.034	7.312	
1970-10-30		7.044	7.332	
1970-11-02		6.954	7.242	
1970-11-03		6.954	7.242	
1970-11-04		6.964	7.232	
1970-11-05		6.894	7.202	
1970-11-06		6.864	7.152	
1970-11-09		6.734	7.062	
1970-11-10		6.764	7.062	
1970-11-11		6.764	7.062	
1970-11-12		6.754	7.032	
1970-11-13		6.694	7.002	
1970-11-16		6.634	6.962	
1970-11-17		6.584	6.932	
1970-11-18		6.434	6.862	
1970-11-19		6.294	6.722	
1970-11-20		6.014	6.482	
1970-11-23		5.914	6.322	
1970-11-24		6.064	6.452	
1970-11-25		5.974	6.482	
1970-11-26		5.974	6.482	
1970-11-27		5.974	6.482	
1970-11-30		5.994	6.492	
1970-12-01		6.004	6.482	
1970-12-02		5.954	6.412	
1970-12-03		5.884	6.312	
1970-12-04		5.854	6.212	
1970-12-07		5.894	6.272	
1970-12-08		5.924	6.292	
1970-12-09		5.974	6.342	
1970-12-10		5.954	6.342	
1970-12-11		5.894	6.312	
1970-12-14		5.874	6.262	
1970-12-15		5.904	6.292	
1970-12-16		5.904	6.292	
1970-12-17		5.904	6.302	
1970-12-18		5.944	6.332	
1970-12-21		6.024	6.452	
1970-12-22		6.074	6.522	
1970-12-23		6.054	6.572	
1970-12-24		5.984	6.532	
1970-12-25		5.984	6.532	
1970-12-28		6.004	6.542	
1970-12-29		6.034	6.562	
1970-12-30		5.984	6.512	
1970-12-31		5.984	6.502	
1971-01-01		5.984	6.502	
1971-01-04		5.984	6.462	
1971-01-05		6.044	6.472	
1971-01-06		6.064	6.472	
1971-01-07		6.064	6.452	
1971-01-08		6.064	6.442	
1971-01-11		6.014	6.392	
1971-01-12		5.984	6.352	
1971-01-13		5.914	6.292	
1971-01-14		5.854	6.222	
1971-01-15		5.844	6.222	
1971-01-18		5.864	6.162	
1971-01-19		5.864	6.172	
1971-01-20		5.824	6.152	
1971-01-21		5.754	6.092	
1971-01-22		5.774	6.062	
1971-01-25		5.764	6.052	
1971-01-26		5.804	6.072	
1971-01-27		5.794	6.092	
1971-01-28		5.784	6.082	
1971-01-29		5.784	6.092	
1971-02-01		5.794	6.092	
1971-02-02		5.774	6.112	
1971-02-03		5.784	6.112	
1971-02-04		5.744	6.102	
1971-02-05		5.724	6.102	
1971-02-08		5.694	6.092	
1971-02-09		5.624	6.072	
1971-02-10		5.644	6.082	
1971-02-11		5.614	6.082	
1971-02-12		5.614	6.082	
1971-02-15		5.614	6.082	
1971-02-16		5.594	6.112	
1971-02-17		5.514	6.112	
1971-02-18		5.424	6.112	
1971-02-19		5.364	6.122	
1971-02-22		5.394	6.152	
1971-02-23		5.414	6.182	
1971-02-24		5.384	6.162	
1971-02-25		5.344	6.112	
1971-02-26		5.364	6.142	
1971-03-01		5.354	6.122	
1971-03-02		5.354	6.092	
1971-03-03		5.314	6.052	
1971-03-04		5.254	6.052	
1971-03-05		5.224	6.032	
1971-03-08		5.164	5.992	
1971-03-09		5.044	5.902	
1971-03-10		4.994	5.802	
1971-03-11		4.884	5.692	
1971-03-12		4.974	5.722	
1971-03-15		4.934	5.702	
1971-03-16		4.904	5.682	
1971-03-17		4.834	5.612	
1971-03-18		4.784	5.552	
1971-03-19		4.794	5.512	
1971-03-22		4.744	5.422	
1971-03-23		4.774	5.382	
1971-03-24		4.824	5.412	
1971-03-25		4.864	5.432	
1971-03-26		4.984	5.482	
1971-03-29		5.074	5.542	
1971-03-30		5.044	5.502	
1971-03-31		5.064	5.532	
1971-04-01		5.164	5.582	
1971-04-02		5.224	5.602	
1971-04-05		5.304	5.632	
1971-04-06		5.274	5.602	
1971-04-07		5.294	5.582	
1971-04-08		5.424	5.622	
1971-04-09		5.424	5.622	
1971-04-12		5.634	5.732	
1971-04-13		5.544	5.722	
1971-04-14		5.584	5.772	
1971-04-15		5.584	5.802	
1971-04-16		5.614	5.822	
1971-04-19		5.664	5.882	
1971-04-20		5.784	5.972	
1971-04-21		5.884	6.042	
1971-04-22		5.854	6.022	
1971-04-23		5.864	6.012	
1971-04-26		5.894	6.002	
1971-04-27		5.974	6.002	
1971-04-28		5.994	5.992	
1971-04-29		6.144	6.072	
1971-04-30		6.084	6.082	
1971-05-03		6.094	6.152	
1971-05-04		6.144	6.252	
1971-05-05		6.204	6.262	
1971-05-06		6.204	6.282	
1971-05-07		6.184	6.252	
1971-05-10		6.134	6.222	
1971-05-11		6.174	6.262	
1971-05-12		6.254	6.352	
1971-05-13		6.334	6.472	
1971-05-14		6.384	6.492	
1971-05-17		6.504	6.572	
1971-05-18		6.604	6.652	
1971-05-19		6.494	6.602	
1971-05-20		6.324	6.492	
1971-05-21		6.414	6.532	
1971-05-24		6.374	6.492	
1971-05-25		6.304	6.442	
1971-05-26		6.184	6.372	
1971-05-27		6.164	6.352	
1971-05-28		6.244	6.382	
1971-05-31		6.244	6.382	
1971-06-01		6.274	6.362	
1971-06-02		6.134	6.242	
1971-06-03		6.134	6.192	
1971-06-04		6.224	6.262	
1971-06-07		6.364	6.342	
1971-06-08		6.374	6.382	
1971-06-09		6.454	6.442	
1971-06-10		6.484	6.482	
1971-06-11		6.504	6.502	
1971-06-14		6.664	6.632	
1971-06-15		6.764	6.732	
1971-06-16		6.664	6.682	
1971-06-17		6.674	6.682	
1971-06-18		6.614	6.582	
1971-06-21		6.514	6.532	
1971-06-22		6.614	6.622	
1971-06-23		6.584	6.612	
1971-06-24		6.614	6.612	
1971-06-25		6.664	6.622	
1971-06-28		6.734	6.642	
1971-06-29		6.824	6.672	
1971-06-30		6.864	6.702	
1971-07-01		6.834	6.692	
1971-07-02		6.814	6.692	
1971-07-05		6.814	6.692	
1971-07-06		6.804	6.682	
1971-07-07		6.764	6.662	
1971-07-08		6.774	6.672	
1971-07-09		6.804	6.682	
1971-07-12		6.684	6.602	
