date	ECGDUS	ECPIUS
2008-01-01	2.3	2.6
2008-01-02	2.301311475	2.598770492
2008-01-03	2.302622951	2.597540984
2008-01-04	2.301639344	2.594262295
2008-01-05	2.302185792	2.592349727
2008-01-06	2.30273224	2.590437158
2008-01-07	2.303278689	2.58852459
2008-01-08	2.303825137	2.586612022
2008-01-09	2.108743169	2.780327869
2008-01-10	2.109836066	2.777868852
2008-01-11	2.110928962	2.775409836
2008-01-12	2.112021858	2.77295082
2008-01-13	2.113114754	2.770491803
2008-01-14	2.11420765	2.768032787
2008-01-15	2.115300546	2.76557377
2008-01-16	2.116393443	2.763114754
2008-01-17	2.117486339	2.760655738
2008-01-18	2.118579235	2.758196721
2008-01-19	2.119672131	2.755737705
2008-01-20	2.120765027	2.753278689
2008-01-21	2.121857923	2.750819672
2008-01-22	2.12295082	2.748360656
2008-01-23	2.124043716	2.760928962
2008-01-24	2.113825137	2.774863388
2008-01-25	2.11442623	2.773770492
2008-01-26	2.115027322	2.772677596
2008-01-27	2.115628415	2.771584699
2008-01-28	2.102213115	2.766803279
2008-01-29	2.102295082	2.76557377
2008-01-30	2.102377049	2.764344262
2008-01-31	2.102459016	2.763114754
2008-02-01	2.102540984	2.761885246
2008-02-02	2.102622951	2.760655738
2008-02-03	2.102704918	2.75942623
2008-02-04	2.102786885	2.758196721
2008-02-05	2.121038251	2.761748634
2008-02-06	2.121639344	2.760655738
2008-02-07	2.122240437	2.759562842
2008-02-08	1.972677596	2.742896175
2008-02-09	1.974590164	2.741393443
2008-02-10	1.976502732	2.73989071
2008-02-11	1.978415301	2.732786885
2008-02-12	1.980327869	2.731147541
2008-02-13	1.982240437	2.729508197
2008-02-14	1.984153005	2.727868852
2008-02-15	1.898360656	2.726229508
2008-02-16	1.900546448	2.724590164
2008-02-17	1.90273224	2.72295082
2008-02-18	1.904918033	2.721311475
2008-02-19	1.907103825	2.719672131
2008-02-20	1.909289617	2.718032787
2008-02-21	1.91147541	2.716393443
2008-02-22	1.913661202	2.714754098
2008-02-23	1.915846995	2.713114754
2008-02-24	1.918032787	2.71147541
2008-02-25	1.920218579	2.709836066
2008-02-26	1.922404372	2.708196721
2008-02-27	1.924590164	2.706557377
2008-02-28	1.926775956	2.704918033
2008-02-29	1.928961749	2.703278689
2008-03-01	1.931147541	2.701639344
2008-03-02	1.933333333	2.7
2008-03-03	1.935519126	2.698360656
2008-03-04	1.937704918	2.696721311
2008-03-05	1.93989071	2.703825137
2008-03-06	1.942076503	2.702322404
2008-03-07	1.944262295	2.700819672
2008-03-08	1.946448087	2.69931694
2008-03-09	1.94863388	2.697814208
2008-03-10	1.950819672	2.696311475
2008-03-11	1.672131148	3.027868852
2008-03-12	1.674590164	3.106010929
2008-03-13	1.67704918	3.103278689
2008-03-14	1.679508197	3.100546448
2008-03-15	1.681967213	3.097814208
2008-03-16	1.68442623	3.095081967
2008-03-17	1.686885246	3.092349727
2008-03-18	1.689344262	3.089617486
2008-03-19	1.691803279	3.086885246
2008-03-20	1.694262295	3.084153005
2008-03-21	1.696721311	3.081420765
2008-03-22	1.699180328	3.078688525
2008-03-23	1.701639344	3.075956284
2008-03-24	1.704098361	3.073224044
2008-03-25	1.706557377	3.031967213
2008-03-26	1.709016393	3.029371585
2008-03-27	1.71147541	3.026775956
2008-03-28	1.713934426	3.024180328
2008-03-29	1.716393443	3.021584699
2008-03-30	1.718852459	3.018989071
2008-03-31	1.721311475	3.016393443
2008-04-01	1.723770492	3.013797814
2008-04-02	1.726229508	3.011202186
2008-04-03	1.728688525	3.008606557
2008-04-04	1.731147541	3.006010929
2008-04-05	1.733606557	3.003415301
2008-04-06	1.736065574	3.000819672
2008-04-07	1.685519126	3.034972678
2008-04-08	1.687431694	3.032240437
2008-04-09	1.516393443	3.102459016
2008-04-10	1.518579235	3.099453552
2008-04-11	1.520765027	3.096448087
2008-04-12	1.52295082	3.093442623
2008-04-13	1.525136612	3.090437158
2008-04-14	1.527322404	3.087431694
2008-04-15	1.529508197	3.08442623
2008-04-16	1.531693989	3.081420765
2008-04-17	1.533879781	3.078415301
2008-04-18	1.536065574	3.075409836
2008-04-19	1.538251366	3.072404372
2008-04-20	1.540437158	3.069398907
2008-04-21	1.542622951	3.066393443
2008-04-22	1.544808743	3.063387978
2008-04-23	1.546994536	3.060382514
2008-04-24	1.549180328	3.057377049
2008-04-25	1.55136612	3.054371585
2008-04-26	1.553551913	3.05136612
2008-04-27	1.555737705	3.048360656
2008-04-28	1.557923497	3.045355191
2008-04-29	1.56010929	3.042349727
2008-04-30	1.562295082	3.039344262
2008-05-01	1.564480874	3.036338798
2008-05-02	1.566666667	3.033333333
2008-05-03	1.568852459	3.030327869
2008-05-04	1.571038251	3.027322404
2008-05-05	1.573224044	3.02431694
2008-05-06	1.575409836	3.021311475
2008-05-07	1.577595628	3.018306011
2008-05-08	1.579781421	3.015300546
2008-05-09	1.546721311	3.112295082
2008-05-10	1.54863388	3.109289617
2008-05-11	1.550546448	3.106284153
2008-05-12	1.552459016	3.149180328
2008-05-13	1.554371585	3.163934426
2008-05-14	1.556284153	3.160655738
2008-05-15	1.558196721	3.157377049
2008-05-16	1.56010929	3.154098361
2008-05-17	1.562021858	3.150819672
2008-05-18	1.563934426	3.147540984
2008-05-19	1.565846995	3.144262295
2008-05-20	1.567759563	3.140983607
2008-05-21	1.569672131	3.137704918
2008-05-22	1.571584699	3.13442623
2008-05-23	1.573497268	3.131147541
2008-05-24	1.575409836	3.127868852
2008-05-25	1.577322404	3.124590164
2008-05-26	1.579234973	3.121311475
2008-05-27	1.581147541	3.118032787
2008-05-28	1.583060109	3.114754098
2008-05-29	1.584972678	3.11147541
2008-05-30	1.586885246	3.108196721
2008-05-31	1.588797814	3.104918033
2008-06-01	1.590710383	3.101639344
2008-06-02	1.592622951	3.098360656
2008-06-03	1.594535519	3.095081967
2008-06-04	1.596448087	3.091803279
2008-06-05	1.598360656	3.08852459
2008-06-06	1.600273224	3.085245902
2008-06-07	1.602185792	3.081967213
2008-06-08	1.604098361	3.078688525
2008-06-09	1.606010929	3.075409836
2008-06-10	1.607923497	3.072131148
2008-06-11	1.609836066	3.068852459
2008-06-12	1.622677596	3.221038251
2008-06-13	1.624043716	3.217486339
2008-06-14	1.625409836	3.213934426
2008-06-15	1.626775956	3.210382514
2008-06-16	1.628142077	3.206830601
2008-06-17	1.629508197	3.203278689
2008-06-18	1.630874317	3.199726776
2008-06-19	1.632240437	3.196174863
2008-06-20	1.633606557	3.192622951
2008-06-21	1.634972678	3.189071038
2008-06-22	1.636338798	3.185519126
2008-06-23	1.637704918	3.181967213
2008-06-24	1.639071038	3.178415301
2008-06-25	1.640437158	3.174863388
2008-06-26	1.641803279	3.171311475
2008-06-27	1.643169399	3.167759563
2008-06-28	1.644535519	3.16420765
2008-06-29	1.645901639	3.160655738
2008-06-30	1.64726776	3.157103825
2008-07-01	1.64863388	3.153551913
2008-07-02	1.65	3.15
2008-07-03	1.65136612	3.146448087
2008-07-04	1.65273224	3.142896175
2008-07-05	1.654098361	3.139344262
2008-07-06	1.655464481	3.13579235
2008-07-07	1.656830601	3.132240437
2008-07-08	1.658196721	3.128688525
2008-07-09	1.659562842	3.125136612
2008-07-10	1.656557377	3.369398907
2008-07-11	1.657377049	3.36557377
2008-07-12	1.658196721	3.361748634
2008-07-13	1.659016393	3.357923497
2008-07-14	1.659836066	3.354098361
2008-07-15	1.660655738	3.350273224
2008-07-16	1.66147541	3.346448087
2008-07-17	1.662295082	3.342622951
2008-07-18	1.663114754	3.338797814
2008-07-19	1.663934426	3.334972678
2008-07-20	1.664754098	3.331147541
2008-07-21	1.66557377	3.327322404
2008-07-22	1.666393443	3.323497268
2008-07-23	1.667213115	3.319672131
2008-07-24	1.668032787	3.315846995
2008-07-25	1.668852459	3.312021858
2008-07-26	1.669672131	3.308196721
2008-07-27	1.670491803	3.304371585
2008-07-28	1.671311475	3.300546448
2008-07-29	1.672131148	3.275409836
2008-07-30	1.67295082	3.271721311
2008-07-31	1.673770492	3.268032787
2008-08-01	1.674590164	3.264344262
2008-08-02	1.675409836	3.260655738
2008-08-03	1.676229508	3.256967213
2008-08-04	1.67704918	3.253278689
2008-08-05	1.677868852	3.249590164
2008-08-06	1.678688525	3.245901639
2008-08-07	1.679508197	3.262295082
2008-08-08	1.680327869	3.258469945
2008-08-09	1.681147541	3.254644809
2008-08-10	1.681967213	3.250819672
2008-08-11	1.5	3.386065574
2008-08-12	1.5	3.381967213
2008-08-13	1.5	3.377868852
2008-08-14	1.5	3.373770492
2008-08-15	1.5	3.369672131
2008-08-16	1.5	3.36557377
2008-08-17	1.5	3.36147541
2008-08-18	1.5	3.357377049
2008-08-19	1.5	3.353278689
2008-08-20	1.5	3.349180328
2008-08-21	1.5	3.345081967
2008-08-22	1.5	3.340983607
2008-08-23	1.5	3.336885246
2008-08-24	1.5	3.332786885
2008-08-25	1.5	3.328688525
2008-08-26	1.5	3.324590164
2008-08-27	1.5	3.320491803
2008-08-28	1.5	3.316393443
2008-08-29	1.5	3.312295082
2008-08-30	1.5	3.308196721
2008-08-31	1.5	3.304098361
2008-09-01	1.5	3.3
2008-09-02	1.5	3.295901639
2008-09-03	1.5	3.291803279
2008-09-04	1.5	3.287704918
2008-09-05	1.5	3.283606557
2008-09-06	1.5	3.279508197
2008-09-07	1.5	3.275409836
2008-09-08	1.5	3.271311475
2008-09-09	1.5	3.267213115
2008-09-10	1.630874317	3.324863388
2008-09-11	1.630601093	3.320218579
2008-09-12	1.560655738	3.31557377
2008-09-13	1.56010929	3.310928962
2008-09-14	1.559562842	3.306284153
2008-09-15	1.559016393	3.301639344
2008-09-16	1.558469945	3.296994536
2008-09-17	1.557923497	3.292349727
2008-09-18	1.557377049	3.287704918
2008-09-19	1.556830601	3.283060109
2008-09-20	1.556284153	3.278415301
2008-09-21	1.555737705	3.273770492
2008-09-22	1.555191257	3.269125683
2008-09-23	1.554644809	3.264480874
2008-09-24	1.554098361	3.259836066
2008-09-25	1.553551913	3.255191257
2008-09-26	1.553005464	3.250546448
2008-09-27	1.552459016	3.245901639
2008-09-28	1.551912568	3.241256831
2008-09-29	1.55136612	3.236612022
2008-09-30	1.550819672	3.231967213
2008-10-01	1.550273224	3.227322404
2008-10-02	1.549726776	3.222677596
2008-10-03	1.549180328	3.218032787
2008-10-04	1.54863388	3.213387978
2008-10-05	1.548087432	3.208743169
2008-10-06	1.547540984	3.204098361
2008-10-07	1.546994536	3.199453552
2008-10-08	1.546448087	3.194808743
2008-10-09	1.368852459	3.036065574
2008-10-10	1.290710383	3.069535519
2008-10-11	1.289617486	3.064480874
2008-10-12	1.28852459	3.05942623
2008-10-13	1.287431694	3.054371585
2008-10-14	1.286338798	3.04931694
2008-10-15	1.245901639	3.044262295
2008-10-16	1.244672131	3.03920765
2008-10-17	1.243442623	3.034153005
2008-10-18	1.242213115	3.029098361
2008-10-19	1.240983607	3.024043716
2008-10-20	1.239754098	3.018989071
2008-10-21	1.23852459	3.013934426
2008-10-22	1.237295082	3.008879781
2008-10-23	1.236065574	3.003825137
2008-10-24	1.234836066	2.998770492
2008-10-25	1.233606557	2.993715847
2008-10-26	1.232377049	2.988661202
2008-10-27	1.231147541	2.983606557
2008-10-28	1.229918033	2.978551913
2008-10-29	1.228688525	2.973497268
2008-10-30	1.227459016	2.968442623
2008-10-31	1.226229508	2.963387978
2008-11-01	1.225	2.958333333
2008-11-02	1.223770492	2.953278689
2008-11-03	1.222540984	2.948224044
2008-11-04	1.221311475	2.859016393
2008-11-05	1.220081967	2.853688525
2008-11-06	1.218852459	2.848360656
2008-11-07	1.175136612	2.800546448
2008-11-08	1.173770492	2.795081967
2008-11-09	1.172404372	2.789617486
2008-11-10	0.813661202	2.741256831
2008-11-11	0.81147541	2.735655738
2008-11-12	0.018579235	2.041530055
2008-11-13	0.01420765	2.034699454
2008-11-14	0.009836066	2.027868852
2008-11-15	0.005464481	2.021038251
2008-11-16	0.001092896	2.01420765
2008-11-17	-0.103278689	1.825819672
2008-11-18	-0.107650273	1.818579235
2008-11-19	-0.112021858	1.849590164
2008-11-20	-0.116393443	1.842622951
2008-11-21	-0.120765027	1.835655738
2008-11-22	-0.125136612	1.828688525
2008-11-23	-0.129508197	1.821721311
2008-11-24	-0.133879781	1.814754098
