date,USGG2YR Index,USGG5YR Index,USGG10YR Index,USGG30YR Index
1970-05-31,,7.834,7.952000000000001,
1970-06-30,,7.774,7.682,
1970-07-31,,7.584,7.382000000000001,
1970-08-31,,7.454,7.492000000000001,
1970-09-30,,7.484,7.292000000000001,
1970-10-31,,7.044,7.332000000000001,
1970-11-30,,5.994,6.492000000000001,
1970-12-31,,5.984,6.502000000000001,
1971-01-31,,5.784,6.0920000000000005,
1971-02-28,,5.364,6.142,
1971-03-31,,5.064,5.532,
1971-04-30,,6.084,6.082000000000001,
1971-05-31,,6.244,6.382000000000001,
1971-06-30,,6.864,6.702000000000001,
1971-07-31,,6.9639999999999995,6.852,
1971-08-31,,6.074,6.282,
1971-09-30,,6.064,6.002000000000001,
1971-10-31,,5.784,5.872000000000001,
1971-11-30,,5.843999999999999,5.932,
1971-12-31,,5.504,5.892,
1972-01-31,,5.754,6.0920000000000005,
1972-02-29,,5.684,6.042000000000001,
1972-03-31,,6.104,6.122000000000001,
1972-04-30,,5.894,6.142,
1972-05-31,,5.794,6.0520000000000005,
1972-06-30,,6.004,6.152,
1972-07-31,,5.984,6.122000000000001,
1972-08-31,,6.2139999999999995,6.422000000000001,
1972-09-30,,6.184,6.542000000000001,
1972-10-31,,6.204,6.412000000000001,
1972-11-30,,6.124,6.282,
1972-12-31,,6.263999999999999,6.412000000000001,
1973-01-31,,6.454,6.542000000000001,
1973-02-28,,6.734,6.642,
1973-03-31,,6.814,6.732,
1973-04-30,,6.734,6.702000000000001,
1973-05-31,,6.784,6.932,
1973-06-30,,6.904,6.942,
1973-07-31,,7.874,7.432,
1973-08-31,,7.9639999999999995,7.252000000000001,
1973-09-30,,6.724,6.902,
1973-10-31,,6.824,6.712000000000001,
1973-11-30,,6.774,6.692,
1973-12-31,,6.834,6.902,
1974-01-31,,6.914,7.002000000000001,
1974-02-28,,6.984,7.0120000000000005,
1974-03-31,,7.654,7.412000000000001,
1974-04-30,,8.214,7.662000000000001,
1974-05-31,,8.064,7.522,
1974-06-30,,8.334,7.642,
1974-07-31,,8.464,7.892,
1974-08-31,,8.634,8.112,
1974-09-30,,8.054,7.942,
1974-10-31,,7.944,7.792000000000001,
1974-11-30,,7.564,7.642,
1974-12-31,,7.364,7.402,
1975-01-31,,7.343999999999999,7.532,
1975-02-28,,7.1339999999999995,7.462000000000001,
1975-03-31,,7.504,8.012,
1975-04-30,,8.124,8.312000000000001,
1975-05-31,,7.614,8.042,
1975-06-30,,7.824,7.962000000000001,
1975-07-31,,8.074,8.202,
1975-08-31,,8.164,8.282,
1975-09-30,,8.424,8.482000000000001,
1975-10-31,,7.664,7.912000000000001,
1975-11-30,,7.904,8.142000000000001,
1975-12-31,,7.504,7.7620000000000005,
1976-01-31,,7.434,7.8020000000000005,
1976-02-29,,7.4639999999999995,7.772,
1976-03-31,,7.394,7.662000000000001,
1976-04-30,,7.343999999999999,7.672000000000001,
1976-05-31,,7.544,7.962000000000001,
1976-06-30,7.02,7.053999999999999,7.862,
1976-07-31,6.74,7.053999999999999,7.862,
1976-08-31,6.5,6.734,7.662000000000001,
1976-09-30,6.33,6.593999999999999,7.5520000000000005,
1976-10-31,6.03,6.324,7.422000000000001,
1976-11-30,5.42,5.694,7.0120000000000005,
1976-12-31,5.34,5.704,6.812,
1977-01-31,6.189,6.504,7.402,
1977-02-28,6.0889999999999995,6.984,7.8020000000000005,7.8
1977-03-31,6.019,6.944,7.422000000000001,7.79
1977-04-30,6.149,6.904,7.452000000000001,7.8
1977-05-31,6.189,6.874,7.382000000000001,7.74
1977-06-30,6.0889999999999995,6.704,7.202000000000001,7.58
1977-07-31,6.5089999999999995,7.034,7.422000000000001,7.72
1977-08-31,6.599,6.944,7.112,7.6
1977-09-30,6.829,7.114,7.412000000000001,7.68
1977-10-31,7.239,7.444,7.622000000000001,7.83
1977-11-30,7.119,7.364,7.5520000000000005,7.83
1977-12-31,7.249,7.553999999999999,7.782,8.03
1978-01-31,7.479,7.724,7.942,8.18
1978-02-28,7.579,7.864,8.042,8.25
1978-03-31,7.709,7.974,8.152000000000001,8.33
1978-04-30,7.979,8.094,8.242,8.39
1978-05-31,8.129,8.283999999999999,8.422,8.5
1978-06-30,8.488999999999999,8.504,8.622,8.62
1978-07-31,8.479,8.464,8.562000000000001,8.56
1978-08-31,8.469,8.424,8.392000000000001,8.46
1978-09-30,8.709,8.504,8.562000000000001,8.61
1978-10-31,9.129,9.164,8.962,8.87
1978-11-30,9.559,8.943999999999999,8.862,8.8
1978-12-31,9.988999999999999,9.324,9.152000000000001,8.96
1979-01-31,9.649,8.954,8.952,8.85
1979-02-28,9.899,9.294,9.172,9.08
